dataset,model,method,method_display,video_class,video_name,runtime_seconds
EtriActivity3D,TANet,3D-Kernel-SHAP-NEW,3D-Kernel-SHAP,0,A001_P046_G002_C001.mp4,449.5406892299652
EtriActivity3D,TANet,3D-Kernel-SHAP-NEW,3D-Kernel-SHAP,1,A002_P065_G001_C001.mp4,449.08959126472473
EtriActivity3D,TANet,3D-Kernel-SHAP-NEW,3D-Kernel-SHAP,1,A002_P096_G003_C004.mp4,449.3612039089203
EtriActivity3D,TANet,3D-Kernel-SHAP-NEW,3D-Kernel-SHAP,13,A014_P015_G003_C001.mp4,449.9273838996887
EtriActivity3D,TANet,3D-Kernel-SHAP-NEW,3D-Kernel-SHAP,14,A015_P013_G002_C008.mp4,450.4835262298584
EtriActivity3D,TANet,3D-Kernel-SHAP-NEW,3D-Kernel-SHAP,14,A015_P035_G002_C004.mp4,451.06445360183716
EtriActivity3D,TANet,3D-Kernel-SHAP-NEW,3D-Kernel-SHAP,15,A016_P021_G002_C006.mp4,447.0577757358551
EtriActivity3D,TANet,3D-Kernel-SHAP-NEW,3D-Kernel-SHAP,15,A016_P021_G003_C008.mp4,447.9444577693939
EtriActivity3D,TANet,3D-Kernel-SHAP-NEW,3D-Kernel-SHAP,16,A017_P063_G002_C002.mp4,445.7939953804016
EtriActivity3D,TANet,3D-Kernel-SHAP-NEW,3D-Kernel-SHAP,16,A017_P082_G002_C003.mp4,444.877117395401
EtriActivity3D,TANet,3D-Kernel-SHAP-NEW,3D-Kernel-SHAP,17,A018_P015_G002_C002.mp4,445.71285343170166
EtriActivity3D,TANet,3D-Kernel-SHAP-NEW,3D-Kernel-SHAP,18,A019_P015_G002_C008.mp4,445.25471115112305
EtriActivity3D,TANet,3D-Kernel-SHAP-NEW,3D-Kernel-SHAP,20,A021_P066_G004_C008.mp4,446.77058959007263
EtriActivity3D,TANet,3D-Kernel-SHAP-NEW,3D-Kernel-SHAP,22,A023_P072_G001_C007.mp4,448.7190058231354
EtriActivity3D,TANet,3D-Kernel-SHAP-NEW,3D-Kernel-SHAP,25,A026_P032_G002_C008.mp4,450.7949175834656
EtriActivity3D,TANet,3D-Kernel-SHAP-NEW,3D-Kernel-SHAP,26,A027_P004_G001_C006.mp4,449.40682101249695
EtriActivity3D,TANet,3D-Kernel-SHAP-NEW,3D-Kernel-SHAP,3,A004_P046_G003_C005.mp4,450.08249282836914
EtriActivity3D,TANet,3D-Kernel-SHAP-NEW,3D-Kernel-SHAP,31,A032_P020_G001_C004.mp4,451.19850182533264
EtriActivity3D,TANet,3D-Kernel-SHAP-NEW,3D-Kernel-SHAP,40,A041_P082_G001_C007.mp4,450.73231840133667
EtriActivity3D,TANet,3D-Kernel-SHAP-NEW,3D-Kernel-SHAP,41,A042_P020_G003_C006.mp4,451.0732843875885
EtriActivity3D,TANet,3D-Kernel-SHAP-NEW,3D-Kernel-SHAP,41,A042_P022_G003_C001.mp4,451.8478088378906
EtriActivity3D,TANet,3D-Kernel-SHAP-NEW,3D-Kernel-SHAP,42,A043_P015_G003_C002.mp4,452.59912395477295
EtriActivity3D,TANet,3D-Kernel-SHAP-NEW,3D-Kernel-SHAP,42,A043_P082_G002_C006.mp4,450.6273157596588
EtriActivity3D,TANet,3D-Kernel-SHAP-NEW,3D-Kernel-SHAP,43,A044_P016_G001_C008.mp4,449.39428782463074
EtriActivity3D,TANet,3D-Kernel-SHAP-NEW,3D-Kernel-SHAP,46,A047_P021_G002_C001.mp4,449.8763942718506
EtriActivity3D,TANet,3D-Kernel-SHAP-NEW,3D-Kernel-SHAP,46,A047_P096_G001_C004.mp4,449.4186546802521
EtriActivity3D,TANet,3D-Kernel-SHAP-NEW,3D-Kernel-SHAP,47,A048_P035_G001_C003.mp4,450.89799761772156
EtriActivity3D,TANet,3D-Kernel-SHAP-NEW,3D-Kernel-SHAP,50,A051_P082_G001_C006.mp4,448.35921597480774
EtriActivity3D,TANet,3D-Kernel-SHAP-NEW,3D-Kernel-SHAP,54,A055_P035_G001_C006.mp4,447.61905431747437
EtriActivity3D,TANet,3D-Kernel-SHAP-NEW,3D-Kernel-SHAP,7,A008_P072_G002_C002.mp4,448.9809527397156
EtriActivity3D,TANet,3D-LIME-NEW,3D-LIME,0,A001_P046_G002_C001.mp4,441.6273868083954
EtriActivity3D,TANet,3D-LIME-NEW,3D-LIME,1,A002_P065_G001_C001.mp4,443.6196150779724
EtriActivity3D,TANet,3D-LIME-NEW,3D-LIME,1,A002_P096_G003_C004.mp4,442.83339738845825
EtriActivity3D,TANet,3D-LIME-NEW,3D-LIME,13,A014_P015_G003_C001.mp4,443.06826615333557
EtriActivity3D,TANet,3D-LIME-NEW,3D-LIME,14,A015_P013_G002_C008.mp4,443.5079233646393
EtriActivity3D,TANet,3D-LIME-NEW,3D-LIME,14,A015_P035_G002_C004.mp4,444.02675223350525
EtriActivity3D,TANet,3D-LIME-NEW,3D-LIME,15,A016_P021_G002_C006.mp4,440.7634000778198
EtriActivity3D,TANet,3D-LIME-NEW,3D-LIME,15,A016_P021_G003_C008.mp4,440.60296750068665
EtriActivity3D,TANet,3D-LIME-NEW,3D-LIME,16,A017_P063_G002_C002.mp4,439.067839384079
EtriActivity3D,TANet,3D-LIME-NEW,3D-LIME,16,A017_P082_G002_C003.mp4,438.16860008239746
EtriActivity3D,TANet,3D-LIME-NEW,3D-LIME,17,A018_P015_G002_C002.mp4,437.96754932403564
EtriActivity3D,TANet,3D-LIME-NEW,3D-LIME,18,A019_P015_G002_C008.mp4,438.56400966644287
EtriActivity3D,TANet,3D-LIME-NEW,3D-LIME,20,A021_P066_G004_C008.mp4,441.83054304122925
EtriActivity3D,TANet,3D-LIME-NEW,3D-LIME,22,A023_P072_G001_C007.mp4,442.78496384620667
EtriActivity3D,TANet,3D-LIME-NEW,3D-LIME,25,A026_P032_G002_C008.mp4,444.1043920516968
EtriActivity3D,TANet,3D-LIME-NEW,3D-LIME,26,A027_P004_G001_C006.mp4,443.7344467639923
EtriActivity3D,TANet,3D-LIME-NEW,3D-LIME,3,A004_P046_G003_C005.mp4,443.4951753616333
EtriActivity3D,TANet,3D-LIME-NEW,3D-LIME,31,A032_P020_G001_C004.mp4,444.64788031578064
EtriActivity3D,TANet,3D-LIME-NEW,3D-LIME,40,A041_P082_G001_C007.mp4,443.10301661491394
EtriActivity3D,TANet,3D-LIME-NEW,3D-LIME,41,A042_P020_G003_C006.mp4,444.9110314846039
EtriActivity3D,TANet,3D-LIME-NEW,3D-LIME,41,A042_P022_G003_C001.mp4,444.9182906150818
EtriActivity3D,TANet,3D-LIME-NEW,3D-LIME,42,A043_P015_G003_C002.mp4,445.7034339904785
EtriActivity3D,TANet,3D-LIME-NEW,3D-LIME,42,A043_P082_G002_C006.mp4,444.14591789245605
EtriActivity3D,TANet,3D-LIME-NEW,3D-LIME,43,A044_P016_G001_C008.mp4,443.75094771385193
EtriActivity3D,TANet,3D-LIME-NEW,3D-LIME,46,A047_P021_G002_C001.mp4,441.999427318573
EtriActivity3D,TANet,3D-LIME-NEW,3D-LIME,46,A047_P096_G001_C004.mp4,443.08267164230347
EtriActivity3D,TANet,3D-LIME-NEW,3D-LIME,47,A048_P035_G001_C003.mp4,444.33242440223694
EtriActivity3D,TANet,3D-LIME-NEW,3D-LIME,50,A051_P082_G001_C006.mp4,442.19895792007446
EtriActivity3D,TANet,3D-LIME-NEW,3D-LIME,54,A055_P035_G001_C006.mp4,441.15137457847595
EtriActivity3D,TANet,3D-LIME-NEW,3D-LIME,7,A008_P072_G002_C002.mp4,442.8007628917694
EtriActivity3D,TANet,3D-RISE-NEW,3D-RISE,0,A001_P046_G002_C001.mp4,439.4436273574829
EtriActivity3D,TANet,3D-RISE-NEW,3D-RISE,1,A002_P065_G001_C001.mp4,441.17909812927246
EtriActivity3D,TANet,3D-RISE-NEW,3D-RISE,1,A002_P096_G003_C004.mp4,439.55948305130005
EtriActivity3D,TANet,3D-RISE-NEW,3D-RISE,13,A014_P015_G003_C001.mp4,442.9605164527893
