dataset,model,method,video_class,video_name,sensitivity_n,random_correlation,reversed_correlation,n,n_subsets,seed
EtriActivity3D,TANet,3D-Kernel-SHAP-NEW,0,A001_P046_G002_C001.mp4,0.3901854500851753,0.20610018336425318,-0.3901854500851753,10,100,777
EtriActivity3D,TANet,3D-LIME-NEW,0,A001_P046_G002_C001.mp4,0.5327575413858462,0.20610018336425318,-0.5327575413858461,10,100,777
EtriActivity3D,TANet,3D-RISE-NEW,0,A001_P046_G002_C001.mp4,0.35768353992127067,-0.1052279014102826,-0.35768353992127055,10,100,777
EtriActivity3D,TANet,3D-Sampled-Occl-Sens-NEW,0,A001_P046_G002_C001.mp4,0.04511534949234317,-0.1052279014102826,-0.04511534949234318,10,100,777
EtriActivity3D,TANet,LV-LOCO-NEW,0,A001_P046_G002_C001.mp4,0.4938753692801113,0.20610018336425318,-0.4938753692801113,10,100,777
EtriActivity3D,TANet,LV-Univ-Pred-NEW,0,A001_P046_G002_C001.mp4,-0.07357048181154502,0.20610018336425318,0.073570481811545,10,100,777
EtriActivity3D,TANet,SaliencyTubes,0,A001_P046_G002_C001.mp4,0.3241626605939359,-0.1052279014102826,-0.32416266059393595,10,100,777
EtriActivity3D,TANet,AOSA,0,A001_P046_G002_C001.mp4,0.47952435244965375,-0.1052279014102826,-0.47952435244965375,10,100,777
EtriActivity3D,TANet,GradCAM,0,A001_P046_G002_C001.mp4,0.20021923350060863,-0.1052279014102826,-0.20021923350060858,10,100,777
EtriActivity3D,TANet,3D-Kernel-SHAP-NEW,1,A002_P065_G001_C001.mp4,0.4992013271186401,0.1380412541480812,-0.49920132711864007,10,100,777
EtriActivity3D,TANet,3D-LIME-NEW,1,A002_P065_G001_C001.mp4,0.5028012722927392,0.1380412541480812,-0.5028012722927392,10,100,777
EtriActivity3D,TANet,3D-RISE-NEW,1,A002_P065_G001_C001.mp4,0.5748726748520695,-0.22030011506434266,-0.5748726748520695,10,100,777
EtriActivity3D,TANet,3D-Sampled-Occl-Sens-NEW,1,A002_P065_G001_C001.mp4,0.1520181508775397,-0.22030011506434266,-0.15201815087753978,10,100,777
EtriActivity3D,TANet,LV-LOCO-NEW,1,A002_P065_G001_C001.mp4,0.40366542457738586,0.1380412541480812,-0.40366542457738586,10,100,777
EtriActivity3D,TANet,LV-Univ-Pred-NEW,1,A002_P065_G001_C001.mp4,-0.12684964639353632,0.1380412541480812,0.12684964639353632,10,100,777
EtriActivity3D,TANet,SaliencyTubes,1,A002_P065_G001_C001.mp4,0.4967657399989385,-0.22030011506434266,-0.4967657399989386,10,100,777
EtriActivity3D,TANet,AOSA,1,A002_P065_G001_C001.mp4,-0.09553325860727724,-0.22030011506434266,0.09553325860727724,10,100,777
EtriActivity3D,TANet,GradCAM,1,A002_P065_G001_C001.mp4,0.5053583194387185,-0.22030011506434266,-0.5053583194387185,10,100,777
EtriActivity3D,TANet,3D-Kernel-SHAP-NEW,1,A002_P096_G003_C004.mp4,0.9319398502596458,0.05097257624278096,-0.9319398502596458,10,100,777
EtriActivity3D,TANet,3D-LIME-NEW,1,A002_P096_G003_C004.mp4,0.941929609930324,0.05097257624278096,-0.9419296099303238,10,100,777
EtriActivity3D,TANet,3D-RISE-NEW,1,A002_P096_G003_C004.mp4,0.8386951021642725,-0.20087922261031935,-0.8386951021642725,10,100,777
EtriActivity3D,TANet,3D-Sampled-Occl-Sens-NEW,1,A002_P096_G003_C004.mp4,-0.10616878023721986,-0.20087922261031935,0.10616878023721993,10,100,777
EtriActivity3D,TANet,LV-LOCO-NEW,1,A002_P096_G003_C004.mp4,0.8929053187013253,0.05097257624278096,-0.8929053187013253,10,100,777
EtriActivity3D,TANet,LV-Univ-Pred-NEW,1,A002_P096_G003_C004.mp4,0.19745014854108778,0.05097257624278096,-0.19745014854108778,10,100,777
EtriActivity3D,TANet,SaliencyTubes,1,A002_P096_G003_C004.mp4,0.6723675671804374,-0.20087922261031935,-0.6723675671804374,10,100,777
EtriActivity3D,TANet,AOSA,1,A002_P096_G003_C004.mp4,-0.5208320523533954,-0.20087922261031935,0.5208320523533954,10,100,777
EtriActivity3D,TANet,GradCAM,1,A002_P096_G003_C004.mp4,0.6373116094226643,-0.20087922261031935,-0.6373116094226643,10,100,777
EtriActivity3D,TANet,3D-Kernel-SHAP-NEW,13,A014_P015_G003_C001.mp4,0.6137037438365748,0.07437908631023017,-0.6137037438365752,10,100,777
EtriActivity3D,TANet,3D-LIME-NEW,13,A014_P015_G003_C001.mp4,0.478470830857753,0.07437908631023017,-0.47847083085775294,10,100,777
EtriActivity3D,TANet,3D-RISE-NEW,13,A014_P015_G003_C001.mp4,0.7031002937584016,-0.11428786229548775,-0.7031002937584013,10,100,777
EtriActivity3D,TANet,3D-Sampled-Occl-Sens-NEW,13,A014_P015_G003_C001.mp4,0.13839040620317736,-0.11428786229548775,-0.13839040620317736,10,100,777
EtriActivity3D,TANet,LV-LOCO-NEW,13,A014_P015_G003_C001.mp4,0.8627392106708183,0.07437908631023017,-0.862739210670818,10,100,777
EtriActivity3D,TANet,LV-Univ-Pred-NEW,13,A014_P015_G003_C001.mp4,0.005605154061381775,0.07437908631023017,-0.005605154061381755,10,100,777
EtriActivity3D,TANet,SaliencyTubes,13,A014_P015_G003_C001.mp4,0.5528156830766868,-0.11428786229548775,-0.5528156830766868,10,100,777
EtriActivity3D,TANet,AOSA,13,A014_P015_G003_C001.mp4,-0.43269292391082537,-0.11428786229548775,0.4326929239108252,10,100,777
EtriActivity3D,TANet,GradCAM,13,A014_P015_G003_C001.mp4,0.4860791223195024,-0.11428786229548775,-0.4860791223195023,10,100,777
EtriActivity3D,TANet,3D-Kernel-SHAP-NEW,14,A015_P013_G002_C008.mp4,0.6838825829736884,-0.06603229584110747,-0.6838825829736883,10,100,777
EtriActivity3D,TANet,3D-LIME-NEW,14,A015_P013_G002_C008.mp4,0.733235907776962,-0.06603229584110747,-0.7332359077769621,10,100,777
EtriActivity3D,TANet,3D-RISE-NEW,14,A015_P013_G002_C008.mp4,0.8158035808454984,0.061943790902755834,-0.8158035808454986,10,100,777
EtriActivity3D,TANet,3D-Sampled-Occl-Sens-NEW,14,A015_P013_G002_C008.mp4,0.18123376838501223,0.061943790902755834,-0.18123376838501223,10,100,777
EtriActivity3D,TANet,LV-LOCO-NEW,14,A015_P013_G002_C008.mp4,0.8285314838123266,-0.06603229584110747,-0.8285314838123267,10,100,777
EtriActivity3D,TANet,LV-Univ-Pred-NEW,14,A015_P013_G002_C008.mp4,0.3743676551876349,-0.06603229584110747,-0.37436765518763493,10,100,777
EtriActivity3D,TANet,SaliencyTubes,14,A015_P013_G002_C008.mp4,0.727784956767557,0.061943790902755834,-0.7277849567675572,10,100,777
EtriActivity3D,TANet,AOSA,14,A015_P013_G002_C008.mp4,0.6234593698199159,0.061943790902755834,-0.6234593698199159,10,100,777
EtriActivity3D,TANet,GradCAM,14,A015_P013_G002_C008.mp4,0.6948602757685499,0.061943790902755834,-0.6948602757685497,10,100,777
EtriActivity3D,TANet,3D-Kernel-SHAP-NEW,14,A015_P035_G002_C004.mp4,0.27018873873842536,0.013526949860386182,-0.2701887387384252,10,100,777
EtriActivity3D,TANet,3D-LIME-NEW,14,A015_P035_G002_C004.mp4,0.2294253542512272,0.013526949860386182,-0.22942535425122715,10,100,777
