metric,Dataset,method,method_display,N,mean,std,median,q25,q75,IQR,direction
avg_drop,EtriActivity3D,3D-Kernel-SHAP-NEW,3D-Kernel-SHAP,30,22.21540667612555,24.67482796448043,17.134800478605506,0.0009238719985482,41.31320267915726,41.31227880715871,lower
avg_drop,EtriActivity3D,3D-LIME-NEW,3D-LIME,30,16.36148598203989,26.362654365625662,0.6542594409182476,0.0,26.999549248525263,26.999549248525263,lower
avg_drop,EtriActivity3D,3D-RISE-NEW,3D-RISE,30,2.319062347243487,7.16674414091582,0.00014007091646558659,0.0,0.9070130139864154,0.9070130139864154,lower
avg_drop,EtriActivity3D,3D-Sampled-Occl-Sens-NEW,3D-Sampled-Occl-Sens,30,53.46847766051617,44.15545925913853,72.48485373516463,4.3768109249569775,97.53970558588155,93.16289466092456,lower
avg_drop,EtriActivity3D,AOSA,AOSA,30,20.953317396468375,31.929581841620887,0.4260841751287908,0.0,39.046197907444096,39.046197907444096,lower
avg_drop,EtriActivity3D,GradCAM,GradCAM,30,34.78531978300891,37.44186904254682,15.104125704582447,0.6894575095363696,71.52495183662299,70.83549432708662,lower
avg_drop,EtriActivity3D,LV-LOCO-NEW,LV-LOCO,30,59.61616594114787,35.07403707054004,69.56314390854737,42.2443796915292,91.1053059908229,48.8609262992937,lower
avg_drop,EtriActivity3D,LV-Univ-Pred-NEW,LV-Univ-Pred,30,72.71949379243284,39.74715890326759,98.57221871286637,50.609495759966556,99.86661819892936,49.2571224389628,lower
avg_drop,EtriActivity3D,SaliencyTubes,SaliencyTubes,30,20.100864202339917,27.686426127363763,4.802685811004492,0.14525134546747098,35.07766854101989,34.93241719555242,lower
avg_drop,Kinetics400,3D-Kernel-SHAP-NEW,3D-Kernel-SHAP,30,33.26870078594797,30.449263477151387,30.877539585069254,5.157389448298065,55.002340116922284,49.84495066862422,lower
avg_drop,Kinetics400,3D-LIME-NEW,3D-LIME,30,28.735357561439336,31.361585932779786,25.830263463876747,0.06499401154994135,43.16565213389029,43.10065812234035,lower
avg_drop,Kinetics400,3D-RISE-NEW,3D-RISE,30,5.834742624449917,12.604443379036798,0.0,0.0,2.0599577563331635,2.0599577563331635,lower
avg_drop,Kinetics400,3D-Sampled-Occl-Sens-NEW,3D-Sampled-Occl-Sens,30,11.36986692163932,25.24264347519602,0.0,0.0,4.77429831454902,4.77429831454902,lower
avg_drop,Kinetics400,AOSA,AOSA,30,35.64586070465645,37.31522621960013,22.09063496754242,0.0,73.63714752558803,73.63714752558803,lower
avg_drop,Kinetics400,GradCAM,GradCAM,30,26.688628147307305,34.75604233224938,6.69432484039603,0.0,36.355543707663614,36.355543707663614,lower
avg_drop,Kinetics400,LV-LOCO-NEW,LV-LOCO,30,74.12999337912116,35.44965630337746,94.69320739498318,47.53581991752266,97.92864098123562,50.39282106371296,lower
avg_drop,Kinetics400,LV-Univ-Pred-NEW,LV-Univ-Pred,30,77.37793279068278,38.26331286069406,99.05580969262265,78.93770108773226,99.53141112762958,20.593710039897317,lower
avg_drop,Kinetics400,SaliencyTubes,SaliencyTubes,30,28.503836689992404,32.653970239857,12.772258340115833,0.0,53.96847050839774,53.96847050839774,lower
avg_drop,Overall,3D-Kernel-SHAP-NEW,3D-Kernel-SHAP,60,27.742053731036762,28.036528327881665,19.846056406014572,0.5334045399026115,49.11814869081151,48.5847441509089,lower
avg_drop,Overall,3D-LIME-NEW,3D-LIME,60,22.548421771739616,29.39338977145638,2.8437616031494306,0.0,36.42265972443162,36.42265972443162,lower
avg_drop,Overall,3D-RISE-NEW,3D-RISE,60,4.076902485846702,10.318809825764424,0.0,0.0,1.2762962345927735,1.2762962345927735,lower
avg_drop,Overall,3D-Sampled-Occl-Sens-NEW,3D-Sampled-Occl-Sens,60,32.41917229107774,41.49828845157347,4.674050276292834,0.0,85.14209884762735,85.14209884762735,lower
avg_drop,Overall,AOSA,AOSA,60,28.299589050562414,35.2193771926774,5.316189986985422,0.0,61.39789304318042,61.39789304318042,lower
avg_drop,Overall,GradCAM,GradCAM,60,30.736973965158104,36.04840231906295,14.356446244876665,0.007675588588451625,64.51681792361187,64.50914233502341,lower
avg_drop,Overall,LV-LOCO-NEW,LV-LOCO,60,66.87307966013451,35.719929358365796,81.98592232197001,40.88569754695341,96.90200022036437,56.01630267341096,lower
avg_drop,Overall,LV-Univ-Pred-NEW,LV-Univ-Pred,60,75.04871329155782,38.75151842082614,98.86080628252823,66.15607416349435,99.7628596037178,33.60678544022345,lower
avg_drop,Overall,SaliencyTubes,SaliencyTubes,60,24.302350446166162,30.312197063797562,5.841710686023642,0.014117482820336699,39.05872211500064,39.0446046321803,lower
bbox_energy_ratio,EtriActivity3D,3D-Kernel-SHAP-NEW,3D-Kernel-SHAP,30,0.24037834834307426,0.19045370290883815,0.2031745761632919,0.13420765846967692,0.2908003330230713,0.15659267455339437,higher
