Metric,Category,Valid per-video values,Methods observed,Included in repeated-video analysis,Reason
deletion_auc,input_perturbation,540,9,True,Included; complete cases are determined per scope below.
insertion_auc,input_perturbation,540,9,True,Included; complete cases are determined per scope below.
avg_drop,input_perturbation,540,9,True,Included; complete cases are determined per scope below.
pointing_game,ground_truth_comparison,540,9,True,Included; complete cases are determined per scope below.
iou50,ground_truth_comparison,540,9,True,Included; complete cases are determined per scope below.
iou_value,ground_truth_comparison,540,9,True,Included; complete cases are determined per scope below.
sensitivity_n,sensitivity,540,9,True,Included; complete cases are determined per scope below.
roar,retraining,0,0,False,"Excluded: results are dataset/method/fraction-level, not per-video repeated measures."
bbox_energy_ratio,project_specific,540,9,True,Included; complete cases are determined per scope below.
temporal_consistency,project_specific,540,9,True,Included; complete cases are determined per scope below.
sparsity_80,project_specific,540,9,True,Included; complete cases are determined per scope below.
runtime_seconds,computational_cost,540,9,True,Included; complete cases are determined per scope below.
