Metric,Dataset,N,Method A,Method B,Wilcoxon statistic,p raw,p Holm,Mean difference (A-B),Median difference (A-B),Rank-biserial effect,Significant
deletion_auc,Overall,60,3D-Kernel-SHAP,3D-LIME,317.0,1.0713963900365687e-05,0.0002464211697084108,0.03687091140043998,0.02346112443012764,0.653551912568306,True
deletion_auc,Overall,60,3D-Kernel-SHAP,3D-RISE,842.0,0.590993401935496,1.0,0.005202291727065869,0.0014016198514352997,0.07978142076502732,False
deletion_auc,Overall,60,3D-Kernel-SHAP,3D-Sampled-Occl-Sens,259.0,1.3707470779587177e-06,3.8380918182844096e-05,-0.13271721608888043,-0.08973423971172013,-0.7169398907103826,True
deletion_auc,Overall,60,3D-Kernel-SHAP,LV-LOCO,303.0,6.627891462282247e-06,0.00017232517801933842,-0.08272729734304116,-0.05620307566440226,-0.6688524590163935,True
deletion_auc,Overall,60,3D-Kernel-SHAP,LV-Univ-Pred,137.0,1.0202531190939745e-08,3.366835293010116e-07,-0.23050347930548667,-0.24246155332123065,-0.8502732240437159,True
deletion_auc,Overall,60,3D-Kernel-SHAP,SaliencyTubes,780.0,0.3203122578191264,1.0,-0.004786775085637353,0.017991751679613005,0.14754098360655737,False
deletion_auc,Overall,60,3D-Kernel-SHAP,AOSA,441.0,0.0004841064709567201,0.008713916477220963,-0.11694299085508415,-0.02964852432499386,-0.5180327868852459,True
deletion_auc,Overall,60,3D-Kernel-SHAP,GradCAM,640.0,0.04292481474489162,0.5150977769386994,-0.0777835602413829,-0.0132305753754878,-0.3005464480874317,False
deletion_auc,Overall,60,3D-LIME,3D-RISE,461.0,0.0008312680284772544,0.013300288455636071,-0.03166861967337411,-0.015925869396223043,-0.4961748633879781,True
deletion_auc,Overall,60,3D-LIME,3D-Sampled-Occl-Sens,115.0,3.878761477893344e-09,1.3575665172626703e-07,-0.16958812748932042,-0.12730905559908628,-0.8743169398907104,True
deletion_auc,Overall,60,3D-LIME,LV-LOCO,129.0,7.198793899418943e-09,2.4475899258024406e-07,-0.11959820874348112,-0.0780826315795653,-0.8590163934426229,True
deletion_auc,Overall,60,3D-LIME,LV-Univ-Pred,71.0,5.191863680927711e-10,1.869070925133976e-08,-0.26737439070592667,-0.25974594522451483,-0.9224043715846995,True
deletion_auc,Overall,60,3D-LIME,SaliencyTubes,797.0,0.38502811760848654,1.0,-0.04165768648607733,-0.000948629078682402,-0.12896174863387977,False
deletion_auc,Overall,60,3D-LIME,AOSA,200.0,1.413030197322853e-07,4.239090591968559e-06,-0.1538139022555241,-0.0802391795591419,-0.7814207650273224,True
deletion_auc,Overall,60,3D-LIME,GradCAM,431.0,0.0003666185303362848,0.006965752076389411,-0.11465447164182288,-0.0458243998793601,-0.5289617486338798,True
deletion_auc,Overall,60,3D-RISE,3D-Sampled-Occl-Sens,165.0,3.3668796201260914e-08,1.0437326822390884e-06,-0.1379195078159463,-0.1070109504266637,-0.819672131147541,True
deletion_auc,Overall,60,3D-RISE,LV-LOCO,291.0,4.355799878897778e-06,0.00011760659673024001,-0.08792958907010702,-0.0371854109692904,-0.6819672131147541,True
deletion_auc,Overall,60,3D-RISE,LV-Univ-Pred,142.0,1.2665372839698328e-08,4.052919308703465e-07,-0.23570577103255255,-0.21268354275420573,-0.8448087431693989,True
deletion_auc,Overall,60,3D-RISE,SaliencyTubes,849.0,0.6270623191759823,1.0,-0.009989066812703225,0.0082098254261009,0.07213114754098361,False
deletion_auc,Overall,60,3D-RISE,AOSA,309.0,8.15280721674356e-06,0.00019693145462755198,-0.12214528258215006,-0.03532792082009974,-0.6622950819672131,True
deletion_auc,Overall,60,3D-RISE,GradCAM,587.0,0.015752248092459172,0.20477922520196923,-0.08298585196844876,-0.008198622772290002,-0.3584699453551913,False
deletion_auc,Overall,60,3D-Sampled-Occl-Sens,LV-LOCO,724.0,0.15970447587177605,1.0,0.049989918745839294,0.0047155107539055,0.2087431693989071,False
deletion_auc,Overall,60,3D-Sampled-Occl-Sens,LV-Univ-Pred,444.0,0.0005256854322375171,0.00893665234803779,-0.0977862632166062,-0.08746633016195772,-0.5147540983606558,True
deletion_auc,Overall,60,3D-Sampled-Occl-Sens,SaliencyTubes,308.0,7.87725818510208e-06,0.00019693145462755198,0.12793044100324308,0.11268565991996775,0.6633879781420765,True
